,molecule_id,smiles,target_core,vs1,vdelta
158,chromo1537,Cc1ccccc1C(=O)NN1C2=C(CC3=C1CC(C)(C)CC3=O)C(=O)CC(C)(C)C2,0,3.4882,1.0291
159,chromo6218,CCCCN(CCCC)c1ccc(C#Cc2cc(C#Cc3ccc(C(F)(F)F)cc3)c(C#Cc3ccc(N(CCCC)CCCC)cc3)cc2C#Cc2ccc(C(F)(F)F)cc2)cc1,1,2.4889,0.6356000000000002
160,chromo3354,CN(C)c1ccc(C#Cc2cc(C#Cc3ccc(C(F)(F)F)cc3)c3ccc4c(C#Cc5ccc(N(C)C)cc5)cc(C#Cc5ccc(C(F)(F)F)cc5)c5ccc2c3c45)cc1,1,2.0955,0.7844
161,chromo4228,C[Si](C)(C)c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1,0,4.1699,1.1921000000000004
162,chromo6382,CN(C)c1ccc(C#Cc2cc3ccccc3oc2=O)cc1,1,2.8817,1.0201
163,chromo2841,C(=Cc1ccncn1)c1ccc(N2CCCCC2)cc1,0,3.3571,1.201
164,chromo1037,CCC1=C(C)C2=C(C)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,1,2.9048,1.3698
165,chromo2491,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c(-c4ccc(C(=O)O)cc4)c4c5ccc6c7c(ccc(c(-c8ccc(C(=O)O)cc8)c4c4ccc(c2c34)C1=O)c75)C(=O)N(c1c(C(C)C)cccc1C(C)C)C6=O,0,1.9621,1.1791999999999998
166,chromo2537,CN(C)c1ccc(C2=Nc3scc(-c4ccccc4)[n+]3[B-](F)(F)O2)cc1,0,3.3605,0.8761999999999999
167,chromo5916,Cn1nc(-c2ccc(C(F)(F)F)cc2)cc1-c1ccccc1,0,4.5748,1.4409999999999998
168,chromo2405,CCN(CC)c1ccc(C=Nc2ccccc2N=Cc2ccc(N(CC)CC)cc2O)c(O)c1,1,3.1803,0.7364999999999999
